Title,Year,My Rating,Director,Rotten Tomatoes,IMDB,,,,,
High and Low,1963,100,"Kurosawa, Akira",94,84,,,,,
The Guard,2011,100,"McDonagh, John",94,73,,,,,
Miller's Crossing,1990,100,"Cohen, Joel & Ethan",91,78,,,,,
The Thing,1982,100,"Carpenter, John",81,81,,,,,
For a Few Dollars More,1965,95,"Leone, Sergio",94,83,,,,,
Star Trek: First Contact,1996,59,"Frakes, Jonathan",93,76,,,,,
Star Trek 2: The Wrath of Khan,1982,85,"Meyer, Nicolas",88,77,,,,,
A Streetcar Named Desire,1951,90,"Kazan, Elia",98,80,,,,,
Sipderman: Into the Spiderverse,2018,98,"Persichetti, Bob",97,87,,,,,
Hot Shots!,1991,69,"Abrahams, Jim",83,67,,,,,
"Planes, Trains & Automobiles",1987,71,"Hughes, John",93,76,,,,,
